,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
235,Luis Sinisterra,Leeds, 23, AM(LR),FW,,6(3),456,2,-,1,1,1.1,84.1,1,-,6.52
236,Joe Worrall,Nottingham Forest, 26, D(C),,,11(4),1073,-,-,4,-,0.2,80,1.5,-,6.52
237,Kyle Walker,Man City, 32, D(CR),M(R),,9(1),706,-,-,-,-,0.2,90.2,0.9,-,6.52
238,Morgan Gibbs-White,Wolves, 22, AM(CR),FW,,2,180,-,-,1,-,1.5,83.7,1.5,-,6.52
239,Ben Chilwell,Chelsea, 26, D(L),M(L),,4(5),418,1,1,1,-,0.3,82,1.3,-,6.51
240,Denis Zakaria,Chelsea, 26, D(C),DMC,,4,289,-,-,-,-,0.5,89.9,-,-,6.51
241,Roméo Lavia,Southampton, 19, DMC,,,8(2),684,1,-,3,-,0.4,88,0.3,-,6.51
242,Cody Drameh,Leeds, 21, D(R),,,1,70,-,-,-,-,-,77.4,1,-,6.51
243,Aaron Hickey,Brentford, 20, D(LR),M(LR),,8(1),684,-,-,4,-,0.3,83.1,0.4,-,6.51
244,Mohamed Elyounoussi,Southampton, 28, AM(CLR),FW,,16(2),1331,-,1,3,-,1.6,68.7,1.2,-,6.51
245,Joel Ward,Crystal Palace, 33, D(CLR),DMC,M(R),13(2),1224,-,-,4,-,0.1,75.4,1.7,-,6.51
246,Gianluca Scamacca,West Ham, 24, FW,,,11(5),929,3,-,3,-,1.9,66.9,1.1,-,6.50
247,Harry Maguire,Man Utd, 29, D(C),,,4(4),385,-,-,3,-,0.1,87.8,1.1,-,6.50
248,Jeffrey Schlupp,Crystal Palace, 30, D(L),M(CLR),,16(3),1418,-,-,4,-,0.7,78.5,0.7,-,6.50
249,Édouard Mendy,Chelsea, 30, GK,,,8(1),765,-,-,1,-,-,75.7,0.3,-,6.50
250,Matheus Nunes,Wolves, 24, M(C),,,14(2),1163,-,1,1,-,1.3,82,0.6,1,6.50
251,Moussa Djenepo,Southampton, 24, M(LR),,,6(5),570,-,1,-,-,0.2,78.1,0.3,-,6.50
252,Jefferson Lerma,Bournemouth, 28, D(R),DMC,,19,1704,2,-,3,-,0.8,82.3,1.7,-,6.50
253,Yoane Wissa,Brentford, 26, AM(L),FW,,8(11),822,4,1,1,-,1.1,74.6,0.5,-,6.50
254,Gavin Bazunu,Southampton, 20, GK,,,19,1710,-,-,-,-,-,55.7,0.4,1,6.49
255,Neeskens Kebano,Fulham, 30, AM(CLR),,,9(3),719,-,3,-,-,0.8,80.4,0.1,-,6.49
256,Jordan Henderson,Liverpool, 32, D(C),M(CLR),,10(5),885,-,-,1,-,0.8,82.6,0.3,-,6.49
257,Matty Cash,Aston Villa, 25, D(R),M(CLR),,13(2),1146,-,-,3,-,0.5,76.7,0.6,-,6.49
258,Jonny Evans,Leicester, 35, D(CL),,,9,810,-,-,-,-,0.1,89.4,2.2,1,6.49
259,Ezri Konsa,Aston Villa, 25, D(CR),,,18(1),1613,-,-,3,-,0.2,85.2,1.6,-,6.49
260,Vladimír Coufal,West Ham, 30, D(R),M(R),,11(2),1022,-,-,3,-,0.4,67.7,1.2,-,6.48
261,Konstantinos Tsimikas,Liverpool, 26, D(L),,,5(7),439,-,3,1,-,0.6,85.1,0.5,-,6.48
262,Ryan Yates,Nottingham Forest, 25, DMC,,,15(2),1350,-,1,4,-,1.4,79,1.6,-,6.48
263,Robin Koch,Leeds, 26, D(C),DMC,,18,1574,-,-,4,-,0.3,77,2.4,-,6.48
264,Cheikhou Kouyaté,Nottingham Forest, 33, D(CR),DMC,,9(3),709,1,-,2,-,0.4,77.6,1.2,-,6.48
265,Séamus Coleman,Everton, 34, D(CR),M(R),,8(3),724,-,-,-,-,0.3,81,0.6,-,6.48
266,Adam Lallana,Brighton, 34, M(CLR),,,11(4),701,2,1,-,-,0.5,82.8,0.5,-,6.48
267,Ryan Christie,Bournemouth, 27, AM(CLR),FW,,11(6),922,1,-,1,-,0.9,84.4,0.2,-,6.48
268,Renan Lodi,Nottingham Forest, 24, D(L),M(L),,10(1),833,-,-,2,-,0.5,77,0.5,-,6.47
269,Duje Caleta-Car,Southampton, 26, D(C),,,6(3),631,-,-,1,-,0.3,86.1,0.9,-,6.47
270,Danny Ward,Leicester, 29, GK,,,19,1710,-,-,-,-,-,70.9,0.2,1,6.47
271,Lewis Dunk,Brighton, 31, D(C),,,18,1620,-,-,1,-,0.5,89.5,1.4,-,6.47
272,Conor Coady,Everton, 29, D(CR),DMC,,17,1521,1,1,1,-,0.2,85.1,1.1,-,6.46
273,Fred,Man Utd, 29, M(C),,,5(11),555,2,-,4,-,0.9,82.9,0.3,-,6.46
274,Diego Llorente,Leeds, 29, D(C),DMC,,7(1),648,-,-,1,-,0.8,83.4,2.3,-,6.46
275,Luke Thomas,Leicester, 21, D(L),M(L),,7(1),592,-,-,1,-,-,78.7,1,-,6.46
276,Adam Webster,Brighton, 28, D(C),,,13(1),1171,-,-,1,-,0.9,86.5,2.4,-,6.46
277,Remo Freuler,Nottingham Forest, 30, DMC,,,13(2),1194,-,-,3,-,0.3,79.8,0.9,-,6.45
278,Levi Colwill,Brighton, 19, D(C),,,5(2),462,-,-,-,-,0.1,89.8,2.1,-,6.45
279,Scott McTominay,Man Utd, 26, D(C),DMC,,6(8),659,-,-,5,-,0.4,82.6,1.3,-,6.45
280,Sam Greenwood,Leeds, 20, M(C),,,2(7),300,1,2,1,-,1.2,67.9,-,-,6.45
281,Dan James,Leeds, 25, AM(CLR),FW,,2(2),199,-,-,-,-,0.8,67.6,-,-,6.44
282,Matt Targett,Newcastle, 27, D(L),M(L),,4(6),421,-,-,-,-,0.1,80.4,0.9,-,6.44
283,James Milner,Liverpool, 37, D(LR),M(CLR),,4(8),464,-,1,-,-,0.4,78.8,0.6,-,6.44
284,Richarlison,Tottenham, 25, AM(CLR),FW,,5(7),469,-,2,2,-,1.2,75.7,0.3,1,6.44
285,Eddie Nketiah,Arsenal, 23, FW,,,4(12),502,2,-,1,-,1.3,82.5,0.3,-,6.43
286,Fábio Carvalho,Liverpool, 20, AM(CL),,,4(7),335,2,-,-,-,1,83.2,0.4,-,6.43
287,Nélson Semedo,Wolves, 29, D(LR),M(R),,12(5),1014,-,1,4,1,0.1,82.2,0.6,-,6.43
288,Romain Perraud,Southampton, 25, D(L),M(L),,12(5),990,2,2,2,-,1.2,75.7,0.4,1,6.43
289,Pablo Fornals,West Ham, 26, M(CLR),,,11(6),949,1,-,-,-,1,78,0.3,1,6.43
290,Bryan Gil,Tottenham, 21, AM(CLR),,,2(2),148,-,1,1,-,0.5,80.7,-,-,6.43
291,Chris Mepham,Bournemouth, 25, D(C),,,16,1432,-,-,5,-,0.3,83.3,1.8,-,6.42
292,Craig Dawson,West Ham, 32, D(CR),,,8,720,-,-,2,-,0.8,80,1.8,-,6.42
293,Brennan Johnson,Nottingham Forest, 21, AM(CLR),FW,,17(2),1531,4,1,4,-,1.4,61.4,0.6,-,6.42
294,Ryan Sessegnon,Tottenham, 22, D(L),M(LR),,9(7),800,2,-,4,-,1.1,73.7,0.6,-,6.41
295,Kieffer Moore,Bournemouth, 30, FW,,,11(8),1029,4,-,-,-,0.8,59.6,2.6,1,6.41
296,Alejandro Garnacho,Man Utd, 18, AM(L),,,2(6),237,1,2,2,-,1.1,83.1,0.1,-,6.41
297,Clément Lenglet,Tottenham, 27, D(C),,,11(2),939,-,2,2,-,0.5,88.5,1.8,-,6.41
298,Toti,Wolves, 24, D(C),,,3(4),307,-,-,2,-,-,85.3,1.1,-,6.41
299,Tyrick Mitchell,Crystal Palace, 23, D(L),,,15(2),1194,-,2,2,1,0.2,71.5,0.6,-,6.40
300,Mads Roerslev,Brentford, 23, D(R),M(R),,8(3),721,-,-,-,-,0.1,64.5,0.4,-,6.40
301,Juan Larios,Southampton, 19, Defender,,,2(3),152,-,-,-,-,-,80,0.4,-,6.40
302,Nathaniel Phillips,Liverpool, 25, D(C),,,1(1),66,-,-,-,-,0.5,86.6,2,-,6.40
303,Ainsley Maitland-Niles,Southampton, 25, D(LR),M(CLR),,5(5),544,-,-,2,-,-,83.1,0.4,-,6.39
304,Adama Traoré,Wolves, 26, M(CLR),FW,,6(10),759,1,-,-,-,0.6,74.4,1.4,-,6.39
305,Cristiano Ronaldo,Man Utd, 37, M(L),FW,,4(6),520,1,-,2,-,2.5,76.6,1.5,1,6.39
306,Rico Lewis,Man City, 18, D(R),,,3(4),319,-,-,1,-,0.1,93.9,-,-,6.39
307,Gustavo Scarpa,Nottingham Forest, 29, D(L),M(CLR),,1(1),74,-,-,-,-,2,62.5,0.5,-,6.39
308,Alex Oxlade Chamberlain,Liverpool, 29, M(CLR),,,4(3),310,1,-,-,-,0.9,76.4,0.1,-,6.38
309,Takehiro Tomiyasu,Arsenal, 24, D(CLR),,,4(10),455,-,-,1,-,0.1,84.3,0.5,-,6.38
310,Gonçalo Guedes,Wolves, 26, AM(CLR),FW,,8(5),710,1,1,1,-,1.5,75,0.5,-,6.38
311,Luke Ayling,Leeds, 31, D(CR),M(R),,4(7),429,-,1,1,-,0.3,70.9,1.2,-,6.38
312,Enock Mwepu,Brighton, 25, M(CR),,,2(4),211,-,1,-,-,0.3,81.3,-,-,6.38
313,Harry Toffolo,Nottingham Forest, 27, D(L),M(L),,6(4),611,-,-,-,-,0.3,66.7,1.1,-,6.38
314,Steve Cook,Nottingham Forest, 31, D(C),,,11(1),959,-,-,4,-,0.3,80.7,2.3,-,6.37
315,Ludwig Augustinsson,Aston Villa, 28, D(L),M(L),,1(2),80,-,-,1,-,0.7,63.3,1.3,-,6.37
316,Dominic Calvert-Lewin,Everton, 25, AM(L),FW,,7(2),583,1,-,1,-,1.2,61.7,2.8,-,6.37
317,Adam Smith,Bournemouth, 31, D(LR),M(LR),,18,1549,-,1,5,-,0.2,79,0.7,-,6.36
318,Zanka,Brentford, 32, D(C),,,8(4),734,-,-,1,-,0.3,81.5,0.8,-,6.36
319,Wilfred Ndidi,Leicester, 26, D(C),DMC,,10(4),876,-,-,3,-,0.4,87.3,0.6,-,6.36
320,Fábio Vieira,Arsenal, 22, AM(CR),FW,,1(9),245,1,1,-,-,0.7,81.9,0.1,-,6.36
321,Jordan Zemura,Bournemouth, 23, D(L),,,11(2),948,-,1,1,-,-,69.4,0.3,-,6.36
322,Scott McKenna,Nottingham Forest, 26, D(C),,,15,1350,-,-,4,-,0.1,81,1.7,-,6.35
323,Fraser Forster,Tottenham, 34, GK,,,1,90,-,-,-,-,-,75,1,-,6.35
324,Isaac Price,Everton, 19, Midfielder,,,0(1),32,-,-,1,-,-,84.6,-,-,6.35
325,Michail Antonio,West Ham, 32, D(R),M(CLR),FW,8(10),831,2,1,1,-,1.1,55.3,1.3,-,6.35
326,Chris Richards,Crystal Palace, 22, D(C),,,1(4),166,-,-,-,-,0.4,75.9,1,-,6.34
327,Mateo Kovacic,Chelsea, 28, M(CL),,,7(8),833,-,1,3,-,0.8,83.8,0.3,-,6.34
328,Thilo Kehrer,West Ham, 26, D(CLR),M(R),,15,1350,-,-,4,-,0.5,84.9,1.3,-,6.33
329,Joël Matip,Liverpool, 31, D(C),,,6(2),553,-,-,1,-,-,84.5,0.6,-,6.33
330,Sergio Gómez,Man City, 22, D(L),,,0(5),106,-,1,-,-,0.4,82.1,0.2,-,6.33
331,Jaidon Anthony,Bournemouth, 23, AM(LR),,,4(10),546,2,-,1,-,0.8,76.7,0.4,-,6.33
332,Orel Mangala,Nottingham Forest, 24, M(C),,,7(4),537,-,-,1,-,0.5,83.9,0.5,-,6.32
333,Marcos Senesi,Bournemouth, 25, D(C),,,15(1),1289,-,-,2,-,0.1,80.9,0.7,-,6.32
334,Jan Bednarek,Aston Villa, 26, D(C),,,1(2),96,-,-,-,-,-,90.9,-,-,6.32
335,Samuel Edozie,Southampton, 19, Forward,,,3(9),398,-,-,-,-,0.6,72.5,0.4,-,6.32
336,Frank Onyeka,Brentford, 25, DMC,,,4(8),439,-,1,-,-,0.3,75.6,0.4,-,6.32
337,Lewis O'Brien,Nottingham Forest, 24, D(L),M(CL),,6(7),581,1,-,2,-,0.5,78.7,0.2,-,6.32
338,Taiwo Awoniyi,Nottingham Forest, 25, FW,,,9(7),733,4,-,-,-,1.2,74.2,0.4,-,6.31
339,Philippe Coutinho,Aston Villa, 30, M(CLR),,,6(10),641,-,-,3,-,1.1,80.6,0.2,-,6.31
340,Jamie Vardy,Leicester, 36, AM(L),FW,,10(9),1051,1,4,1,-,0.8,57.1,0.9,-,6.31
341,Ben Godfrey,Everton, 25, D(CLR),,,3(1),212,-,-,-,-,0.8,82.5,0.8,-,6.31
342,Ibrahima Konaté,Liverpool, 23, D(C),,,3(1),291,-,-,-,-,0.8,87.3,2.8,-,6.31
343,Shandon Baptiste,Brentford, 24, AM(C),,,4(8),428,-,-,1,-,0.2,84.3,0.3,-,6.31
344,Raúl Jiménez,Wolves, 31, FW,,,2(3),246,-,-,-,-,1.8,69,2.4,-,6.30
345,Leander Dendoncker,Aston Villa, 27, D(C),M(C),,3(7),325,-,-,-,-,0.1,88.5,0.3,-,6.30
346,Adam Armstrong,Southampton, 25, AM(CLR),FW,,11(7),941,1,1,-,-,0.9,76.6,0.2,-,6.30
347,Jeremy Sarmiento,Brighton, 20, Forward,,,1(5),127,-,-,1,-,0.5,76.7,-,-,6.30
348,Luka Milivojevic,Crystal Palace, 31, DMC,,,2(9),286,-,-,-,-,0.5,82.8,0.5,-,6.30
349,Christian Pulisic,Chelsea, 24, M(CLR),FW,,6(10),606,1,1,1,-,0.9,83.9,0.3,-,6.29
350,Boubacar Traoré,Wolves, 21, M(C),,,4(4),382,-,1,2,-,0.4,80.2,0.9,-,6.29
351,Chris Wood,Newcastle, 31, FW,,,4(14),440,2,-,-,-,0.5,62.3,1.3,-,6.29
352,Anthony Elanga,Man Utd, 20, AM(LR),,,5(8),397,-,1,-,-,0.6,76.3,0.5,-,6.29
353,Jack Stephens,Bournemouth, 28, D(CR),,,1(2),92,-,-,-,-,-,95.8,-,-,6.29
354,Marc Albrighton,Leicester, 33, D(R),M(LR),,1(4),178,-,-,-,-,0.2,68.6,0.2,-,6.29
355,Nathaniel Clyne,Crystal Palace, 31, D(LR),M(R),,12(1),1009,-,-,2,-,-,80.7,0.4,-,6.29
356,Matheus Cunha,Wolves, 23, AM(CL),FW,,1(1),88,-,-,-,-,1.5,73.7,1,-,6.29
357,Jacob Murphy,Newcastle, 27, D(R),M(LR),,5(14),526,1,1,-,-,0.6,67.3,0.1,-,6.28
358,Elliot Anderson,Newcastle, 20, AM(CL),,,0(8),97,-,-,-,-,0.5,71.7,0.5,-,6.28
359,Darko Gyabi,Leeds, 18, Midfielder,,,0(1),7,-,-,-,-,1,100,-,-,6.28
360,Yves Bissouma,Tottenham, 26, M(C),,,8(10),802,-,-,5,-,0.3,90.6,0.3,-,6.28
361,Albert Sambi Lokonga,Arsenal, 23, DMC,,,2(4),196,-,-,-,-,-,94.3,0.5,-,6.28
362,Siriki Dembélé,Bournemouth, 26, AM(CL),FW,,0(5),102,-,-,-,-,0.4,78,-,-,6.27
363,Maximilian Wöber,Leeds, 24, D(CL),,,0(1),23,-,-,-,-,1,56.3,-,-,6.27
364,Oriol Romeu,Southampton, 31, DMC,,,1,75,-,-,-,-,-,96.6,2,-,6.27
365,Mikkel Damsgaard,Brentford, 22, AM(CL),,,1(9),269,-,-,2,-,0.4,75,0.1,-,6.27
366,Carney Chukwuemeka,Chelsea, 19, Midfielder,,,1(6),188,-,-,-,-,0.6,82.4,0.1,-,6.27
367,Neal Maupay,Everton, 26, AM(C),FW,,7(6),683,1,-,2,-,1.2,77.1,0.5,-,6.27
368,Armando Broja,Chelsea, 21, FW,,,2(10),290,1,-,-,-,0.5,62.3,0.8,-,6.26
369,Kieran Tierney,Arsenal, 25, D(CL),M(L),,4(11),461,-,-,-,-,0.3,76.7,0.1,-,6.26
370,Jack Colback,Nottingham Forest, 33, D(L),M(CL),,1(6),232,-,-,-,-,-,81.8,0.3,-,6.26
371,Sékou Mara,Southampton, 20, FW,,,3(10),291,-,1,-,-,1,70,1,-,6.25
372,Nayef Aguerd,West Ham, 26, D(C),,,2(1),256,-,-,2,-,0.3,74.8,1,-,6.25
373,Keane Lewis-Potter,Brentford, 21, AM(CLR),FW,,3(6),304,-,1,-,-,0.8,60.3,0.2,-,6.25
374,Stuart Armstrong,Southampton, 30, AM(CLR),,,7(10),763,1,-,3,-,0.8,81.6,0.3,-,6.25
375,Mark Travers,Bournemouth, 23, GK,,,10(1),945,-,-,-,-,-,71,0.3,-,6.24
376,Tom Cairney,Fulham, 32, M(CR),,,1(19),428,-,-,1,-,0.5,89,0.2,-,6.24
377,Ryan Fraser,Newcastle, 28, M(CLR),FW,,3(5),311,-,-,1,-,0.8,76.9,0.1,-,6.24
378,Kevin Mbabu,Fulham, 27, D(R),M(R),,1(5),144,-,1,1,-,-,76.6,0.3,-,6.23
379,James Garner,Everton, 21, M(C),,,0(6),138,-,-,1,-,0.3,80.8,0.3,-,6.22
380,Lucas Moura,Tottenham, 30, AM(CLR),FW,,0(8),93,-,-,-,-,0.1,75.6,0.3,-,6.22
381,Marek Rodák,Fulham, 26, GK,,,2,180,-,-,-,-,-,44.8,0.5,-,6.22
382,Sasa Kalajdzic,Wolves, 25, FW,,,1,46,-,-,-,-,1,50,1,-,6.22
383,Diego Costa,Wolves, 34, FW,,,8(1),617,-,-,2,1,2.2,77.8,1.7,-,6.22
384,Kristoffer Ajer,Brentford, 24, D(CR),DMC,,7,586,-,-,-,-,0.1,78.5,1.3,-,6.22
385,Hwang Hee-Chan,Wolves, 26, AM(CLR),FW,,7(8),604,-,1,1,-,0.4,78.6,0.1,-,6.21
386,Angelo Ogbonna,West Ham, 34, D(C),,,2(2),205,-,-,-,-,0.3,82.5,1.5,-,6.21
387,Carlos Alcaraz,Southampton, 20, DMC,,,0(1),29,-,-,-,-,-,25,-,-,6.21
388,Giulian Biancone,Nottingham Forest, 22, D(CLR),M(LR),,0(2),16,-,-,-,-,-,72.2,1,-,6.21
389,Curtis Jones,Liverpool, 21, AM(CL),,,1(4),177,-,-,-,-,0.8,86.9,-,-,6.21
390,Dennis Praet,Leicester, 28, AM(CR),,,3(6),302,-,-,1,-,0.1,82,-,-,6.20
391,Emile Smith Rowe,Arsenal, 22, AM(CL),,,0(5),49,-,-,-,-,0.4,90,-,-,6.20
392,Mario Lemina,Wolves, 29, DMC,,,0(1),17,-,-,-,-,1,100,-,-,6.20
393,Rúben Vinagre,Everton, 23, D(L),M(L),,0(2),24,-,-,-,-,-,66.7,-,-,6.20
394,Jesse Lingard,Nottingham Forest, 30, AM(CLR),FW,,11(3),867,-,-,1,-,0.7,81,0.1,-,6.20
395,Emmanuel Dennis,Nottingham Forest, 25, M(LR),FW,,3(7),370,1,1,2,-,0.9,71.7,0.6,-,6.20
396,Lyanco,Southampton, 25, D(CR),,,6(5),586,-,-,3,-,0.5,77.3,0.9,-,6.20
397,Julio Enciso,Brighton, 18, Forward,,,0(4),112,-,-,1,-,1.8,69.2,0.3,-,6.19
398,João Félix,Chelsea, 23, AM(CL),FW,,1,58,-,-,-,1,6,72.7,-,-,6.19
399,Dan James,Fulham, 25, AM(CLR),FW,,3(9),357,1,-,-,-,0.8,73.5,0.1,-,6.19
400,Tom Davies,Everton, 24, M(C),,,4(5),367,-,-,2,-,0.7,75.7,0.7,-,6.19
401,Flynn Downes,West Ham, 24, M(C),,,3(4),277,-,-,-,-,0.3,85.7,0.6,-,6.18
402,Junior Firpo,Leeds, 26, D(L),M(L),,1(2),116,-,-,-,-,-,65.5,1,-,6.18
403,Pierre-Emerick Aubameyang,Chelsea, 33, M(CLR),FW,,4(6),422,1,-,1,-,1,74.1,0.1,-,6.18
404,Çaglar Söyüncü,Leicester, 26, D(C),,,1,72,-,-,-,-,-,83,-,-,6.18
405,Japhet Tanganga,Tottenham, 23, D(CR),,,1,67,-,-,-,-,-,88.9,1,-,6.18
406,Carlos Vinícius,Fulham, 27, FW,,,4(8),421,1,-,1,-,0.7,58.8,0.5,-,6.18
407,Cole Palmer,Man City, 20, AM(C),,,0(8),102,-,-,1,-,0.3,88.7,0.1,-,6.17
408,Patrick Bamford,Leeds, 29, AM(CLR),FW,,4(7),452,1,1,-,-,1.7,73.5,0.5,-,6.17
409,Tariq Lamptey,Brighton, 22, D(R),M(R),,1(14),298,-,-,1,-,0.1,86.5,0.1,-,6.17
410,Maxwel Cornet,West Ham, 26, D(L),M(LR),FW,1(4),88,-,-,-,-,0.8,73.1,0.4,-,6.17
411,Ibrahima Diallo,Southampton, 23, DMC,,,8(3),583,-,-,2,-,0.5,78.4,1.1,-,6.16
412,Joe Gelhardt,Leeds, 20, FW,,,1(14),202,-,2,1,-,0.7,67.2,0.3,-,6.16
413,Donny van de Beek,Man Utd, 25, M(C),,,2(5),166,-,-,-,-,0.3,78,0.4,-,6.16
414,Harry Wilson,Fulham, 25, AM(CLR),,,3(8),323,-,-,-,-,0.7,79.8,0.3,-,6.16
415,Jan Bednarek,Southampton, 26, D(C),,,2,160,-,-,-,-,0.5,85.7,1,-,6.16
416,Nampalys Mendy,Leicester, 30, M(C),,,1(7),233,-,-,-,-,0.1,88,-,-,6.16
417,Jack Stephens,Southampton, 28, D(CR),,,0(2),46,-,-,-,-,-,88.5,0.5,-,6.15
418,Jean-Philippe Mateta,Crystal Palace, 25, FW,,,3(12),398,1,-,2,-,0.9,73.6,0.9,-,6.15
419,Adam Forshaw,Leeds, 31, M(C),,,2(3),158,-,-,-,-,-,86.9,-,-,6.15
420,Emerson,West Ham, 28, D(L),M(L),,4(4),287,-,-,1,-,0.6,82.6,1,-,6.14
421,Kelechi Iheanacho,Leicester, 26, AM(C),FW,,1(13),289,1,1,-,-,0.9,80.8,-,-,6.14
422,Calum Chambers,Aston Villa, 28, D(CR),DMC,,1(3),108,-,-,1,-,0.3,84.8,0.5,-,6.14
423,Deniz Undav,Brighton, 26, FW,,,0(8),94,-,-,-,-,0.8,85.2,0.1,-,6.13
424,Sam Surridge,Nottingham Forest, 24, FW,,,1(11),222,-,-,1,-,0.5,50,0.9,-,6.13
425,Ellis Simms,Everton, 22, FW,,,0(2),15,-,-,-,-,-,75,0.5,-,6.13
426,Jairo Riedewald,Crystal Palace, 26, D(CL),DMC,,0(4),46,-,-,-,-,-,77.4,0.3,-,6.13
427,Harvey White,Tottenham, 21, Midfielder,,,0(1),4,-,-,-,-,-,40,1,-,6.13
428,Mateusz Klich,Leeds, 32, M(C),,,0(14),266,-,-,2,-,0.3,75.7,0.1,-,6.12
429,Salomón Rondón,Everton, 33, FW,,,1(6),104,-,-,-,-,0.6,75,1,-,6.11
430,Layvin Kurzawa,Fulham, 30, D(L),M(L),,2,137,-,-,1,-,-,70.4,-,-,6.11
431,Oliver Skipp,Tottenham, 22, DMC,,,3(5),199,-,-,2,-,0.1,83.7,0.1,-,6.11
432,Naby Keïta,Liverpool, 27, M(C),,,0(4),119,-,-,-,-,0.8,78.9,0.5,-,6.10
433,Cafú,Nottingham Forest, 29, M(C),,,0(1),6,-,-,-,-,-,100,-,-,6.10
434,Saman Ghoddos,Brentford, 29, M(CLR),FW,,0(9),81,-,-,-,-,0.1,73.3,0.2,-,6.10
435,Ben Doak,Liverpool, 17, Forward,,,0(2),24,-,-,-,-,-,71.4,-,-,6.10
436,Mads Bech Sørensen,Brentford, 24, D(CL),,,0(4),19,-,-,-,-,-,85.7,0.3,-,6.10
437,Jay Stansfield,Fulham, 20, FW,,,1(2),86,-,-,-,-,0.7,45,-,-,6.09
438,Thomas Cannon,Everton, 20, Forward,,,0(2),23,-,-,-,-,0.5,80,-,-,6.09
439,Javier Manquillo,Newcastle, 28, D(LR),M(R),,0(1),10,-,-,-,-,-,50,-,-,6.08
440,Will Hughes,Crystal Palace, 27, M(CLR),,,1(12),214,-,-,2,-,0.2,78.8,0.1,-,6.08
441,Jamaal Lascelles,Newcastle, 29, D(C),,,3(3),108,-,-,3,-,0.2,80.8,0.8,-,6.08
442,Ben Pearson,Bournemouth, 28, DMC,,,3(3),270,-,-,1,-,0.3,79.7,0.3,-,6.07
443,Halil Dervisoglu,Brentford, 23, AM(C),FW,,0(1),7,-,-,-,-,1,-,-,-,6.07
444,Mohamed Elneny,Arsenal, 30, DMC,,,1(4),111,-,-,-,-,-,95,-,-,6.07
445,Ryan Fredericks,Bournemouth, 30, D(R),M(R),,5(3),453,-,-,1,-,-,69.5,0.5,-,6.07
446,Jack Stacey,Bournemouth, 26, D(R),M(R),,3(6),293,-,-,2,-,0.1,61.3,0.6,-,6.07
447,Chem Campbell,Wolves, 20, Midfielder,,,0(5),69,-,-,-,-,0.4,82.1,0.4,-,6.07
448,Cédric Soares,Arsenal, 31, D(LR),M(R),,0(2),28,-,-,-,-,-,90,-,-,6.07
449,Kalvin Phillips,Man City, 27, D(C),DMC,,0(2),5,-,-,-,-,-,66.7,-,-,6.07
450,Rob Holding,Arsenal, 27, D(CR),,,0(5),15,-,-,-,-,-,83.3,0.2,-,6.06
451,Abdoulaye Doucouré,Everton, 30, M(C),,,2(8),223,-,-,1,-,0.3,80.8,0.4,-,6.06
452,Morgan Sanson,Aston Villa, 28, M(CLR),,,0(2),10,-,-,-,-,-,71.4,-,-,6.06
453,Sergi Canós,Brentford, 25, M(LR),,,0(5),73,-,-,-,-,0.2,56.8,-,-,6.05
454,Joe Rothwell,Bournemouth, 28, M(CL),,,0(5),53,-,-,-,-,-,90.3,-,-,6.04
455,Bobby Clark,Liverpool, 17, Midfielder,,,0(1),7,-,-,-,-,-,100,-,-,6.04
456,Divin Mubama,West Ham, 18, Forward,,,0(1),3,-,-,-,-,-,100,-,-,6.04
457,Jan Paul van Hecke,Brighton, 22, D(C),,,0(1),2,-,-,-,-,-,100,-,-,6.04
458,Malcolm Ebiowei,Crystal Palace, 19, AM(R),,,0(3),32,-,-,-,-,-,71.4,-,-,6.04
459,Manor Solomon,Fulham, 23, AM(CL),,,0(2),31,-,-,-,-,-,57.1,0.5,-,6.04
460,Jonjo Shelvey,Newcastle, 30, M(C),,,0(3),34,-,-,-,-,-,73.1,-,-,6.03
461,Junior Stanislas,Bournemouth, 33, M(CLR),,,0(4),58,-,-,-,-,0.3,81.5,-,-,6.03
462,Mateo Joseph,Leeds, 19, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6.03
463,Omari Hutchinson,Chelsea, 19, Midfielder,,,0(1),22,-,-,-,-,-,80,-,-,6.03
464,Cody Gakpo,Liverpool, 23, AM(CL),FW,,1,90,-,-,-,-,1,71.4,1,-,6.02
465,Lewis Brunt,Leicester, 22, Midfielder,,,0(1),22,-,-,-,-,-,75,-,-,6.02
466,Michael Keane,Everton, 30, D(CR),,,0(1),22,-,-,-,-,-,50,-,-,6.02
467,Matt Ritchie,Newcastle, 33, D(L),M(CLR),,0(2),3,-,-,-,-,-,66.7,-,-,6.02
468,Connor Ronan,Wolves, 24, M(CL),,,0(1),1,-,-,-,-,-,100,-,-,6.00
469,Conor Coventry,West Ham, 22, DMC,,,0(1),1,-,-,-,-,-,-,-,-,6.00
470,Emil Krafth,Newcastle, 28, D(CR),,,0(1),1,-,-,-,-,-,-,-,-,6.00
471,Ethan Nwaneri,Arsenal, 15, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.00
472,Marquinhos,Arsenal, 19, Forward,,,0(1),1,-,-,-,-,-,66.7,-,-,6.00
